marca,codigo,parte_cuerpo,limite_inferior,limite_superior,talla,genero,prenda
Basement,basement,pecho,0,86,XS,F,top
Basement,basement,cintura,0,63,XS,F,top
Basement,basement,pecho,86,90,S,F,top
Basement,basement,cintura,63,67,S,F,top
Basement,basement,pecho,90,94,M,F,top
Basement,basement,cintura,67,71,M,F,top
Basement,basement,pecho,94,98,L,F,top
Basement,basement,cintura,71,75,L,F,top
Basement,basement,pecho,98,200,XL,F,top
Basement,basement,cintura,75,200,XL,F,top
Basement,basement,cintura,0,63,36,F,inferior
Basement,basement,caderas,0,92,36,F,inferior
Basement,basement,cintura,63,67,38,F,inferior
Basement,basement,caderas,92,96,38,F,inferior
Basement,basement,cintura,67,71,40,F,inferior
Basement,basement,caderas,96,100,40,F,inferior
Basement,basement,cintura,71,75,42,F,inferior
Basement,basement,caderas,100,104,42,F,inferior
Basement,basement,cintura,75,79,44,F,inferior
Basement,basement,caderas,104,108,44,F,inferior
Basement,basement,cintura,79,200,46,F,inferior
Basement,basement,caderas,108,200,46,F,inferior
,,,,,,,
University Club,universityclub,pecho,0,90,XS,F,top
University Club,universityclub,pecho,90,95,S,F,top
University Club,universityclub,pecho,95,101,M,F,top
University Club,universityclub,pecho,101,106,L,F,top
University Club,universityclub,pecho,106,200,XL,F,top
University Club,universityclub,cintura,0,70,XS,F,top
University Club,universityclub,cintura,70,74,S,F,top
University Club,universityclub,cintura,74,79,M,F,top
University Club,universityclub,cintura,79,84,L,F,top
University Club,universityclub,cintura,84,200,XL,F,top
University Club,universityclub,cintura,0,66,36,F,inferior
University Club,universityclub,cintura,66,70,38,F,inferior
University Club,universityclub,cintura,70,74,40,F,inferior
University Club,universityclub,cintura,74,78,42,F,inferior
University Club,universityclub,cintura,78,82,44,F,inferior
University Club,universityclub,cintura,82,86,46,F,inferior
University Club,universityclub,cintura,86,200,48,F,inferior
University Club,universityclub,caderas,0,92,36,F,inferior
University Club,universityclub,caderas,92,96,38,F,inferior
University Club,universityclub,caderas,96,100,40,F,inferior
University Club,universityclub,caderas,100,104,42,F,inferior
University Club,universityclub,caderas,104,108,44,F,inferior
University Club,universityclub,caderas,108,112,46,F,inferior
University Club,universityclub,caderas,112,200,48,F,inferior
,,,,,,,
Sybilla,sybilla,pecho,0,84,XS,F,top
Sybilla,sybilla,pecho,84,88,S,F,top
Sybilla,sybilla,pecho,88,91,M,F,top
Sybilla,sybilla,pecho,91,93,L,F,top
Sybilla,sybilla,pecho,93,200,XL,F,top
Sybilla,sybilla,cintura,0,63,XS,F,top
Sybilla,sybilla,cintura,63,67,S,F,top
Sybilla,sybilla,cintura,67,71,M,F,top
Sybilla,sybilla,cintura,71,75,L,F,top
Sybilla,sybilla,cintura,75,200,XL,F,top
Sybilla,sybilla,cintura,0,59,34,F,inferior
Sybilla,sybilla,cintura,59,63,36,F,inferior
Sybilla,sybilla,cintura,63,67,38,F,inferior
Sybilla,sybilla,cintura,67,71,40,F,inferior
Sybilla,sybilla,cintura,71,75,42,F,inferior
Sybilla,sybilla,cintura,75,200,44,F,inferior
Sybilla,sybilla,caderas,0,86,34,F,inferior
Sybilla,sybilla,caderas,86,90,36,F,inferior
Sybilla,sybilla,caderas,90,94,38,F,inferior
Sybilla,sybilla,caderas,94,98,40,F,inferior
Sybilla,sybilla,caderas,98,102,42,F,inferior
Sybilla,sybilla,caderas,102,200,44,F,inferior
,,,,,,,
American Eagle,americaneagle,cintura,0,61,32,F,inferior
American Eagle,americaneagle,cintura,61,64,34,F,inferior
American Eagle,americaneagle,cintura,64,66,36,F,inferior
American Eagle,americaneagle,cintura,66,69,38,F,inferior
American Eagle,americaneagle,cintura,69,71,40,F,inferior
American Eagle,americaneagle,cintura,71,74,42,F,inferior
American Eagle,americaneagle,cintura,71,78,44,F,inferior
American Eagle,americaneagle,cintura,78,200,46,F,inferior
American Eagle,americaneagle,caderas,0,85,32,F,inferior
American Eagle,americaneagle,caderas,85,88,34,F,inferior
American Eagle,americaneagle,caderas,88,90,36,F,inferior
American Eagle,americaneagle,caderas,90,93,38,F,inferior
American Eagle,americaneagle,caderas,93,96,40,F,inferior
American Eagle,americaneagle,caderas,96,99,42,F,inferior
American Eagle,americaneagle,caderas,99,102,44,F,inferior
American Eagle,americaneagle,caderas,102,200,46,F,inferior
,,,,,,,
Alaniz,alaniz,pecho,0,82,XS,F,top
Alaniz,alaniz,pecho,82,86,S,F,top
Alaniz,alaniz,pecho,86,90,M,F,top
Alaniz,alaniz,pecho,90,200,L,F,top
Alaniz,alaniz,cintura,0,78,XS,F,top
Alaniz,alaniz,cintura,78,82,S,F,top
Alaniz,alaniz,cintura,82,86,M,F,top
Alaniz,alaniz,cintura,86,200,L,F,top
Alaniz,alaniz,caderas,0,86,XS,F,top
Alaniz,alaniz,caderas,86,90,S,F,top
Alaniz,alaniz,caderas,90,94,M,F,top
Alaniz,alaniz,caderas,94,200,L,F,top
Alaniz,alaniz,cintura,0,64,34,F,inferior
Alaniz,alaniz,cintura,64,68,36,F,inferior
Alaniz,alaniz,cintura,68,72,38,F,inferior
Alaniz,alaniz,cintura,72,76,40,F,inferior
Alaniz,alaniz,cintura,76,81,42,F,inferior
Alaniz,alaniz,cintura,81,86,44,F,inferior
Alaniz,alaniz,cintura,86,200,46,F,inferior
Alaniz,alaniz,caderas,0,92,34,F,inferior
Alaniz,alaniz,caderas,92,96,36,F,inferior
Alaniz,alaniz,caderas,96,100,38,F,inferior
Alaniz,alaniz,caderas,100,104,40,F,inferior
Alaniz,alaniz,caderas,104,108,42,F,inferior
Alaniz,alaniz,caderas,108,112,44,F,inferior
Alaniz,alaniz,caderas,112,200,46,F,inferior
,,,,,,,
Aussie,aussie,pecho,0,82,XS,F,top
Aussie,aussie,pecho,82,86,S,F,top
Aussie,aussie,pecho,86,90,M,F,top
Aussie,aussie,pecho,90,200,L,F,top
Aussie,aussie,cintura,0,78,XS,F,top
Aussie,aussie,cintura,78,82,S,F,top
Aussie,aussie,cintura,82,86,M,F,top
Aussie,aussie,cintura,86,200,L,F,top
Aussie,aussie,caderas,0,86,XS,F,top
Aussie,aussie,caderas,86,90,S,F,top
Aussie,aussie,caderas,90,94,M,F,top
Aussie,aussie,caderas,94,200,L,F,top
,,,,,,,
Cyan,cyan,pecho,100,106,S,F,top
Cyan,cyan,pecho,106,112,M,F,top
Cyan,cyan,pecho,112,118,L,F,top
Cyan,cyan,pecho,118,124,XL,F,top
Cyan,cyan,pecho,124,130,XXL,F,top
Cyan,cyan,cintura,82,88,S,F,top
Cyan,cyan,cintura,88,94,M,F,top
Cyan,cyan,cintura,94,100,L,F,top
Cyan,cyan,cintura,100,106,XL,F,top
Cyan,cyan,cintura,106,112,XXL,F,top
Cyan,cyan,caderas,110,116,S,F,top
Cyan,cyan,caderas,116,122,M,F,top
Cyan,cyan,caderas,122,128,L,F,top
Cyan,cyan,caderas,128,134,XL,F,top
Cyan,cyan,caderas,134,140,XXL,F,top
Cyan,cyan,cintura,0,86,40,F,inferior
Cyan,cyan,cintura,86,90,42,F,inferior
Cyan,cyan,cintura,90,94,44,F,inferior
Cyan,cyan,cintura,94,99,46,F,inferior
Cyan,cyan,cintura,99,104,48,F,inferior
Cyan,cyan,cintura,104,108,50,F,inferior
Cyan,cyan,cintura,108,200,52,F,inferior
Cyan,cyan,caderas,0,112,40,F,inferior
Cyan,cyan,caderas,112,116,42,F,inferior
Cyan,cyan,caderas,116,120,44,F,inferior
Cyan,cyan,caderas,120,124,46,F,inferior
Cyan,cyan,caderas,124,128,48,F,inferior
Cyan,cyan,caderas,128,132,50,F,inferior
Cyan,cyan,caderas,132,200,52,F,inferior
,,,,,,,
Efesis,efesis,pecho,0,82,XS,F,top
Efesis,efesis,pecho,82,86,S,F,top
Efesis,efesis,pecho,86,90,M,F,top
Efesis,efesis,pecho,90,200,L,F,top
Efesis,efesis,cintura,0,78,XS,F,top
Efesis,efesis,cintura,78,82,S,F,top
Efesis,efesis,cintura,82,86,M,F,top
Efesis,efesis,cintura,86,200,L,F,top
Efesis,efesis,caderas,0,86,XS,F,top
Efesis,efesis,caderas,86,90,S,F,top
Efesis,efesis,caderas,90,94,M,F,top
Efesis,efesis,caderas,94,200,L,F,top
Efesis,efesis,cintura,0,62,34,F,inferior
Efesis,efesis,cintura,62,66,36,F,inferior
Efesis,efesis,cintura,66,71,38,F,inferior
Efesis,efesis,cintura,71,76,40,F,inferior
Efesis,efesis,cintura,76,81,42,F,inferior
Efesis,efesis,cintura,81,200,44,F,inferior
Efesis,efesis,caderas,0,88,34,F,inferior
Efesis,efesis,caderas,88,92,36,F,inferior
Efesis,efesis,caderas,92,97,38,F,inferior
Efesis,efesis,caderas,97,102,40,F,inferior
Efesis,efesis,caderas,102,107,42,F,inferior
Efesis,efesis,caderas,107,200,44,F,inferior
,,,,,,,
Ellus,ellus,pecho,0,82,XS,F,top
Ellus,ellus,pecho,82,86,S,F,top
Ellus,ellus,pecho,86,90,M,F,top
Ellus,ellus,pecho,90,200,L,F,top
Ellus,ellus,cintura,0,78,XS,F,top
Ellus,ellus,cintura,78,82,S,F,top
Ellus,ellus,cintura,82,86,M,F,top
Ellus,ellus,cintura,86,200,L,F,top
Ellus,ellus,caderas,0,86,XS,F,top
Ellus,ellus,caderas,86,90,S,F,top
Ellus,ellus,caderas,90,94,M,F,top
Ellus,ellus,caderas,94,200,L,F,top
Ellus,ellus,cintura,0,62,34,F,inferior
Ellus,ellus,cintura,62,66,36,F,inferior
Ellus,ellus,cintura,66,71,38,F,inferior
Ellus,ellus,cintura,71,76,40,F,inferior
Ellus,ellus,cintura,76,81,42,F,inferior
Ellus,ellus,cintura,81,200,44,F,inferior
Ellus,ellus,caderas,0,88,34,F,inferior
Ellus,ellus,caderas,88,92,36,F,inferior
Ellus,ellus,caderas,92,97,38,F,inferior
Ellus,ellus,caderas,97,102,40,F,inferior
Ellus,ellus,caderas,102,107,42,F,inferior
Ellus,ellus,caderas,107,200,44,F,inferior
,,,,,,,
Espirit,espirit,pecho,0,82,XS,F,top
Espirit,espirit,pecho,82,86,S,F,top
Espirit,espirit,pecho,86,90,M,F,top
Espirit,espirit,pecho,90,200,L,F,top
Espirit,espirit,cintura,0,78,XS,F,top
Espirit,espirit,cintura,78,82,S,F,top
Espirit,espirit,cintura,82,86,M,F,top
Espirit,espirit,cintura,86,200,L,F,top
Espirit,espirit,caderas,0,86,XS,F,top
Espirit,espirit,caderas,86,90,S,F,top
Espirit,espirit,caderas,90,94,M,F,top
Espirit,espirit,caderas,94,200,L,F,top
Espirit,espirit,cintura,0,62,34,F,inferior
Espirit,espirit,cintura,62,66,36,F,inferior
Espirit,espirit,cintura,66,71,38,F,inferior
Espirit,espirit,cintura,71,76,40,F,inferior
Espirit,espirit,cintura,76,81,42,F,inferior
Espirit,espirit,cintura,81,200,44,F,inferior
Espirit,espirit,caderas,0,88,34,F,inferior
Espirit,espirit,caderas,88,92,36,F,inferior
Espirit,espirit,caderas,92,97,38,F,inferior
Espirit,espirit,caderas,97,102,40,F,inferior
Espirit,espirit,caderas,102,107,42,F,inferior
Espirit,espirit,caderas,107,200,44,F,inferior
,,,,,,,
Foster,foster,pecho,0,80,XS,F,top
Foster,foster,pecho,80,84,S,F,top
Foster,foster,pecho,84,89,M,F,top
Foster,foster,pecho,89,94,L,F,top
Foster,foster,pecho,94,200,XL,F,top
Foster,foster,cintura,0,62,XS,F,top
Foster,foster,cintura,62,66,S,F,top
Foster,foster,cintura,66,71,M,F,top
Foster,foster,cintura,71,76,L,F,top
Foster,foster,cintura,76,200,XL,F,top
Foster,foster,caderas,0,88,XS,F,top
Foster,foster,caderas,88,92,S,F,top
Foster,foster,caderas,92,97,M,F,top
Foster,foster,caderas,97,102,L,F,top
Foster,foster,caderas,102,200,XL,F,top
Foster,foster,cintura,0,62,34,F,inferior
Foster,foster,cintura,62,66,36,F,inferior
Foster,foster,cintura,66,71,38,F,inferior
Foster,foster,cintura,71,76,40,F,inferior
Foster,foster,cintura,76,81,42,F,inferior
Foster,foster,cintura,81,200,44,F,inferior
Foster,foster,caderas,0,88,34,F,inferior
Foster,foster,caderas,88,92,36,F,inferior
Foster,foster,caderas,92,97,38,F,inferior
Foster,foster,caderas,97,102,40,F,inferior
Foster,foster,caderas,102,107,42,F,inferior
Foster,foster,caderas,107,200,44,F,inferior
,,,,,,,
Greenfield,greenfield,pecho,0,80,XS,F,top
Greenfield,greenfield,pecho,80,84,S,F,top
Greenfield,greenfield,pecho,84,89,M,F,top
Greenfield,greenfield,pecho,89,94,L,F,top
Greenfield,greenfield,pecho,94,200,XL,F,top
