marca,codigo,parte_cuerpo,limite_inferior,limite_superior,talla,genero,prenda
Bearcliff,bearcliff,caderas,102,106,44,M,inferior
Bearcliff,bearcliff,caderas,106,110,46,M,inferior
Bearcliff,bearcliff,caderas,110,114,48,M,inferior
Bearcliff,bearcliff,caderas,114,200,50,M,inferior
,,,,,,,
Basement,basement,pecho,0,98,S,M,top
Basement,basement,pecho,98,104,M,M,top
Basement,basement,pecho,104,110,L,M,top
Basement,basement,pecho,110,116,XL,M,top
Basement,basement,pecho,116,200,XXL,M,top
Basement,basement,cintura,0,80,S,M,top
Basement,basement,cintura,80,86,M,M,top
Basement,basement,cintura,86,92,L,M,top
Basement,basement,cintura,92,98,XL,M,top
Basement,basement,cintura,98,200,XXL,M,top
Basement,basement,caderas,0,102,S,M,top
Basement,basement,caderas,102,108,M,M,top
Basement,basement,caderas,108,114,L,M,top
Basement,basement,caderas,114,120,XL,M,top
Basement,basement,caderas,120,200,XXL,M,top
Basement,basement,cintura,0,84,40,M,inferior
Basement,basement,cintura,84,88,42,M,inferior
Basement,basement,cintura,88,92,44,M,inferior
Basement,basement,cintura,92,96,46,M,inferior
Basement,basement,cintura,96,100,48,M,inferior
Basement,basement,cintura,100,200,50,M,inferior
Basement,basement,caderas,0,98,40,M,inferior
Basement,basement,caderas,98,102,42,M,inferior
Basement,basement,caderas,102,106,44,M,inferior
Basement,basement,caderas,106,110,46,M,inferior
Basement,basement,caderas,110,114,48,M,inferior
Basement,basement,caderas,114,200,50,M,inferior
,,,,,,,
Top Man,topman,pecho,0,84,42,M,top
Top Man,topman,pecho,84,89,44,M,top
Top Man,topman,pecho,89,94,46,M,top
Top Man,topman,pecho,94,99,48,M,top
Top Man,topman,pecho,99,104,50,M,top
Top Man,topman,pecho,104,109,52,M,top
Top Man,topman,pecho,109,114,54,M,top
Top Man,topman,pecho,114,119,56,M,top
Top Man,topman,pecho,119,200,58,M,top
Top Man,topman,cintura,0,69,36,M,top
Top Man,topman,cintura,69,74,38,M,top
Top Man,topman,cintura,74,79,40,M,top
Top Man,topman,cintura,79,84,42,M,top
Top Man,topman,cintura,84,89,44,M,top
Top Man,topman,cintura,89,94,46,M,top
Top Man,topman,cintura,94,99,48,M,top
Top Man,topman,cintura,99,200,50,M,top
